	id	advertiser_type	advertiser_id	price	price_min	price_max	features	property_type	bathrooms	bedrooms	carspaces	region	suburb	postcode	address	latitude	longitude	headline	description	labels	listingSlug
0	2015932276	Agency	25529	$550,000	550000		['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'SecureParking', 'Heating', 'Dishwasher', 'BalconyDeck']	House	3.0	6.0	4	Northern Victoria	WODONGA	3690	16 Beard Crescent, Wodonga	-36.1422234	146.871552	Breathtaking Views	"<b></b><br />Perfectly located in Willow Rise and capturing the most spectacular views, this double brick home features 6 bedrooms, 3 bathrooms, 3 living areas and a well equipped original kitchen with walk in pantry and dishwasher. 
Situated on 1007m..."	['New']	16-beard-crescent-wodonga-vic-3690-2015932276
1	2015910560	Agency	17470	$599,000	599000		['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'SwimmingPool', 'Shed', 'BalconyDeck']	House	3.0	5.0	4	Northern Victoria	YACKANDANDAH	3749	4 Bells Flat Road, Yackandandah	-36.3129845	146.835556	Central with Views	<b></b><br />Located only 400m walk from the main street of Yackandandah is this large family home, with fantastic views from the balcony overlooking the rooftops to the mountains beyond. Boasting 5 bedrooms and 3 bathrooms I suggest that you bring you...	[]	4-bells-flat-road-yackandandah-vic-3749-2015910560
2	2014601673	Agency	13833	$600,000	600000		['Ensuite', 'Gas', 'SecureParking', 'Heating']	House	2.0	4.0	4	Melbourne Region	DELAHEY	3037	8 Dunai Walk, Delahey	-37.72347	144.768738	Spacious Entertainer in Quiet and Convenient Location!	<b></b><br />Positioned in a prime quiet corner location with dual driveway entrances on both sides of property; this spacious residence offers ample room and comfort desired for a growing family. Resting on 585sqm (approx.) this free-flowing gem offer...	[]	8-dunai-walk-delahey-vic-3037-2014601673
3	2014974517	Agency	18330	NA	NA	NA	['Floorboards', 'Gas', 'InternalLaundry', 'SecureParking', 'SwimmingPool', 'NorthFacing', 'Heating', 'Dishwasher', 'Shed', 'FullyFenced', 'WallCeilingInsulation']	House	2.0	4.0	3	Melbourne Region	PAKENHAM	3810	30 Stockmans Circuit, Pakenham	-38.0781975	145.4711	Immaculate family built home among the gumtrees!	"<b></b><br />Nestled away in the beautiful Stockmans Circuit of the highly sought after Heritage Springs Estate, is this wonderful four bedroom family home, boasting plenty of space for everyone to enjoy! 

Stepping into the stunning home, you will n..."	['Under offer']	30-stockmans-circuit-pakenham-vic-3810-2014974517
4	2015908134	Agency	29652	$595,000 - $650,000	595000	650000	['BuiltInWardrobes', 'Ensuite', 'SecureParking', 'Heating', 'Dishwasher', 'Study', 'Shed', 'FullyFenced']	House	2.0	4.0	3	Northern Victoria	SUNBURY	3429	11 Burge Drive, Sunbury	-37.59168	144.697632	Heads Above The Rest	"<b></b><br />Neat street appeal will be the first thing to command your attention when you arrive at 11 Burge Drive. 

The beautifully cultivated landscaped front yard leads you to the large front door. What's behind will be a pleasant surprise! 
Yo..."	[]	11-burge-drive-sunbury-vic-3429-2015908134
5	2015507373	Agency	29214	$590,000 - $640,000	590000	640000	['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Floorboards', 'SecureParking', 'SwimmingPool', 'Heating', 'Shed']	House	2.0	4.0	4	Melbourne Region	WERRIBEE	3030	14 Pineview Court, Werribee	-37.8802032	144.651413	Let me entertain you!	<b></b><br />Nestled in a quiet court location and surrounded by quality homes awaits an ideal family oasis that combines the best of entertaining and lifestyle. Set on a 798m2 (approximate) allotment, this location has easy access to Werribee central,...	[]	14-pineview-court-werribee-vic-3030-2015507373
6	2015908062	Agency	31552	$590,000-$640,000	590000	640000	['CableOrSatellite', 'Ensuite', 'Floorboards', 'Gas', 'SecureParking', 'Gym', 'AlarmSystem', 'BroadbandInternetAccess', 'Bath', 'Heating', 'Dishwasher', 'Study', 'FullyFenced', 'GardenCourtyard', 'BalconyDeck']	House	2.0	6.0	4	Melbourne Region	MILL PARK	3082	27 Blamey ave, Mill Park	-37.6764526	145.0638	Renovator's Delight in Mill Park's Rare 6 bedroom house...	"<b></b><br />This home is located within walking distance to Mill Park Primary School & local MilkBar which is next to the Fish & chip shop. 
Walk a bit further you have the Bus, tram line & RMIT University.
This one of a kind 6 bedroom home is also ..."	['Auction Sat 14 Dec']	27-blamey-ave-mill-park-vic-3082-2015908062
7	2015917103	Agency	18330	$560,000 - $600,000	560000	600000	['Ensuite', 'Floorboards', 'Gas', 'SecureParking', 'Heating', 'Dishwasher', 'Shed', 'SolarPanels']	House	2.0	3.0	4	Melbourne Region	PAKENHAM	3810	4 Barbara Court, Pakenham	-38.0643044	145.483765	This Home is Special A Dream Come True	<b></b><br />Presented FOR SALE is this magical home set on a beautifully landscaped lot offering views to the bay and into the distant town that follows. On entrance of this home you will be overwhelmed with warmth and surprise as you see the immacula...	[]	4-barbara-court-pakenham-vic-3810-2015917103
8	2015768815	Agency	17470	$559,000 new price	559000		['AirConditioning', 'BuiltInWardrobes', 'Dishwasher', 'Shed', 'GardenCourtyard']	House	2.0	3.0	4	Northern Victoria	WODONGA	3690	4 Lingford Court, Wodonga	-36.1422234	146.878174	The Real Deal	"<b></b><br />Change your plans for Saturday, as youre coming to see this home! 
Concealed and private, 4 Lingford Court  has been fashionably updated and sits on over 1000 sqm of land, backing onto a natural reserve offering views that are stunning.
..."	[]	4-lingford-court-wodonga-vic-3690-2015768815
9	2015882235	Agency	6638	CONTACT	CONTACT	CONTACT	['AlarmSystem', 'Heating', 'Dishwasher']	House	2.0	5.0	3	Melbourne Region	GREENVALE	3059	12 Colton Close, Greenvale	-37.64148	144.881485	EXCELLENT OPPORTUNITY AWAITS	"<b></b><br />An outstanding opportunity awaits the first home buyer or investor looking for a great family home offering comfortable and excellent accommodation for the growing family.

Secluded in a court location on a 672m2 block with a versatile f..."	['Auction Sat 14 Dec']	12-colton-close-greenvale-vic-3059-2015882235
