ref,rank
BuiltInWardrobes,55
SecureParking,20
AirConditioning,95
Ensuite,70
Gas,60
Heating,80
Dishwasher,80
BalconyDeck,20
InternalLaundry,20
PetsAllowed,0
Bath,10
Study,20
FullyFenced,40
Floorboards,5
BroadbandInternetAccess,50
GardenCourtyard,5
AlarmSystem,50
Shed,90
Gym,5
Intercom,1
SolarPanels,50
WaterViews,10
Furnished,0
NorthFacing,30
SwimmingPool,20
RainwaterStorageTank,50
CableOrSatellite,40
GroundFloor,40
SolarHotWater,70
TennisCourt,0
OutdoorSpa,0
DoubleGlazedWindows,60
WallCeilingInsulation,30
SeparateDiningRoom,0
IndoorSpa,0
